ƒ,Long_Title,Subtitle,Currency,ISA_eligible,ISIN,MIC,Symbol,Fractional_Enabled,PLUS_only,for_Ireland_investors,for_Netherlands_investors,DUTCH_KIID_URL
Greenlight Capital,"Greenlight Capital Re, Ltd.",Hedge fund,USD,TRUE,KYG4095J1094,XNAS,GLRE,TRUE,FALSE,TRUE,TRUE,
New Oriental,New Oriental Education & Tech Group Inc (ADR),Education,USD,FALSE,US6475811070,XNYS,EDU,TRUE,FALSE,TRUE,TRUE,
Sina Corp,Sina Corp,Weibo owner,USD,TRUE,KYG814771047,XNAS,SINA,TRUE,FALSE,TRUE,TRUE,
ZTO Express,ZTO Express (Cayman) Inc (ADR),Delivery services,USD,FALSE,US98980A1051,XNYS,ZTO,TRUE,FALSE,TRUE,TRUE,
Social Capital II,Social Capital Hedosophia Holdings Corp II,Opendoor,USD,TRUE,KYG8250T1094,XNYS,IPOB,TRUE,FALSE,TRUE,TRUE,
Fresh Del Monte,Fresh Del Monte Produce Inc,Food,USD,TRUE,KYG367381053,XNYS,FDP,TRUE,FALSE,TRUE,TRUE,
Yiren Digital,Yiren Digital Ltd. (ADR),Finance marketplace,USD,FALSE,US98585L1008,XNYS,YRD,TRUE,FALSE,TRUE,TRUE,
China Index,China Index Holdings Ltd (ADR),Real estate tech,USD,FALSE,US16954W1018,XNAS,CIH,TRUE,FALSE,TRUE,TRUE,
JD.com,JD.Com Inc (ADR),Ecommerce,USD,FALSE,US47215P1066,XNAS,JD,TRUE,FALSE,TRUE,TRUE,
Lufax,Lufax Holding Ltd,Chinese fintech,USD,FALSE,US54975P1021,XNYS,LU,TRUE,FALSE,TRUE,TRUE,
Chindata,Chindata Group Holdings Ltd (ADR),Data centres,USD,FALSE,US16955F1075,XNAS,CD,TRUE,FALSE,TRUE,TRUE,
WiMi Hologram Cloud ADR,WiMi Hologram Cloud Inc (ADR),Hologram tech,USD,FALSE,US97264L1008,XNYS,WIMI,TRUE,TRUE,TRUE,TRUE,
Qudian,Qudian Inc (ADR),Microloans,USD,FALSE,US7477981069,XNYS,QD,TRUE,FALSE,TRUE,TRUE,
